MassAniso: 0.207901
RelativeDielectric: 11.4

Energy SU(meV): 19.9437
Length SU(nm): 3.16673


PotentialIdx,Exponent,Coefficient(Real),Coefficient(Imag),Symmetry,
0,-1,-2,0,

SolidAngleFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

SlaterFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0

GaussFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0


WavefunctionType: 1

BasisIdx,m,l,k,Azimuth,Symmetry,
0,0,0,0,1,A1
1,0,0,1,1,A1
2,0,0,2,1,A1
3,0,0,3,1,A1
4,0,2,0,1,A1
5,0,2,1,1,A1
6,0,2,2,1,A1
7,0,2,3,1,A1
8,0,4,0,1,A1
9,0,4,1,1,A1
10,0,4,2,1,A1
11,0,4,3,1,A1
12,0,6,0,1,A1
13,0,6,1,1,A1
14,0,6,2,1,A1
15,0,6,3,1,A1


Radius0(AU),Aniso0,Energy0(AU),Variance0,Energy1(AU),Variance1,Energy2(AU),Variance2,Energy3(AU),Variance3,Energy4(AU),Variance4,Energy5(AU),Variance5,Energy6(AU),Variance6,Energy7(AU),Variance7,Energy8(AU),Variance8,Energy9(AU),Variance9,Energy10(AU),Variance10,Energy11(AU),Variance11,Energy12(AU),Variance12,Energy13(AU),Variance13,Energy14(AU),Variance14,Energy15(AU),Variance15,Del
0.110937,0.224023,-0.54006,219.925,3.07694,58.3756,4.1514,13.1177,9.83749,3.40645,10.3031,19.1769,17.0878,3.95491,18.3219,1.76461,27.8952,5.99511,33.7212,1.59277,46.4014,0.720239,53.7397,6.35792,83.9508,0.769208,117.608,0.58093,143.789,2.81078,246.356,1.11499,549.968,2.10816,0
0.110937,0.243359,-0.6007,179.431,3.07233,59.5654,4.10734,12.6885,9.81782,3.13735,10.3833,19.1094,17.0709,4.07996,18.2959,1.80009,28.1262,5.75798,33.65,1.59094,46.3419,0.720919,53.868,6.33057,83.9089,0.773716,117.503,0.577823,143.838,2.80461,246.33,1.11448,549.272,2.10987,0
0.110937,0.262695,-0.652168,154.086,3.07693,60.6438,4.07197,12.0923,9.79689,3.08896,10.4905,18.7726,17.0623,4.19959,18.2726,1.84436,28.4014,5.49677,33.5874,1.58859,46.2854,0.721852,54.0208,6.29723,83.8869,0.778623,117.418,0.574807,143.915,2.79691,246.324,1.11362,548.649,2.11142,0
0.110937,0.282031,-0.695377,137.588,3.09012,61.5962,4.04491,11.3461,9.77552,3.14842,10.6233,18.2791,17.0617,4.31285,18.2521,1.89873,28.7186,5.21796,33.5334,1.58504,46.2318,0.723019,54.1987,6.25783,83.8836,0.78395,117.351,0.571977,144.019,2.78763,246.34,1.11245,548.093,2.11284,0
0.110937,0.301367,-0.731126,126.727,3.11125,62.4066,4.02596,10.473,9.75449,3.24932,10.7804,17.6964,17.0685,4.41823,18.2344,1.965,29.0752,4.92799,33.4882,1.57948,46.1809,0.724398,54.4022,6.2123,83.8978,0.789716,117.301,0.569423,144.152,2.77672,246.375,1.11097,547.602,2.11414,0
0.110937,0.320703,-0.760126,119.733,3.13954,63.0538,4.01519,9.50602,9.73437,3.35928,10.9609,17.0587,17.0825,4.5136,18.2196,2.04564,29.4689,4.63328,33.4525,1.57085,46.1325,0.725968,54.6319,6.1605,83.9287,0.795937,117.267,0.567238,144.314,2.76413,246.431,1.10921,547.171,2.11533,0
0.110937,0.340039,-0.783006,115.572,3.1741,63.5053,4.01287,8.49344,9.71557,3.46429,11.1637,16.3827,17.1032,4.59618,18.2081,2.14391,29.8964,4.34028,33.4276,1.55768,46.0866,0.727704,54.8886,6.10231,83.9753,0.802628,117.246,0.565511,144.505,2.74981,246.507,1.10718,546.798,2.11645,0
0.110937,0.359375,-0.800329,113.623,3.21391,63.7106,4.01954,7.50428,9.69835,3.55909,11.3883,15.6765,17.1302,4.66231,18.2,2.26413,30.3534,4.05554,33.4162,1.53801,46.0431,0.729582,55.1732,6.03756,84.0369,0.809802,117.239,0.564333,144.724,2.73373,246.603,1.10489,546.481,2.11749,0
0.110937,0.378711,-0.812598,113.507,3.25775,63.5977,4.03594,6.6315,9.68291,3.64229,11.634,14.9446,17.1629,4.70728,18.196,2.41189,30.8331,3.78563,33.4233,1.5094,46.0019,0.731575,55.4866,5.96609,84.1128,0.817469,117.244,0.563787,144.974,2.71585,246.718,1.10236,546.216,2.11847,0
0.110937,0.398047,-0.820264,115.005,3.30429,63.0767,4.06303,5.98738,9.66937,3.71412,11.9001,14.1901,17.2007,4.72518,18.1965,2.59435,31.3234,3.53572,33.4592,1.47035,45.9628,0.733658,55.8298,5.88768,84.2024,0.825639,117.259,0.563957,145.253,2.69614,246.852,1.09959,546.002,2.1194,0
0.110937,0.417383,-0.823732,118,3.35214,62.0578,4.10185,5.68463,9.65783,3.77543,12.186,13.4149,17.2431,4.70877,18.2024,2.82039,31.8009,3.30316,33.5456,1.42669,45.9259,0.735806,56.2039,5.80211,84.305,0.834319,117.285,0.564919,145.563,2.67459,247.005,1.0966,545.838,2.1203,0
0.110937,0.436719,-0.823366,122.457,3.39999,60.485,4.15344,5.80217,9.64835,3.82721,12.491,12.6202,17.289,4.64974,18.2148,3.10047,32.2213,3.06247,33.7249,1.40662,45.891,0.737996,56.6102,5.70916,84.4202,0.843517,117.321,0.566746,145.904,2.65118,247.178,1.0934,545.721,2.12116,0
0.110937,0.456055,-0.819495,128.403,3.44679,58.3721,4.21856,6.3486,9.64099,3.87041,12.8144,11.8067,17.3376,4.53963,18.235,3.4458,32.5296,2.78811,34.0503,1.43797,45.8582,0.740207,57.05,5.60856,84.5475,0.853239,117.365,0.569501,146.275,2.62592,247.37,1.08999,545.651,2.122,0
0.110937,0.475391,-0.812412,135.924,3.4919,55.8165,4.29763,7.24774,9.63577,3.9059,13.1553,10.9742,17.3876,4.3717,18.2648,3.86658,32.7152,2.5381,34.5303,1.46453,45.8274,0.742421,57.5248,5.50008,84.6863,0.86349,117.417,0.573242,146.679,2.59881,247.581,1.08639,545.626,2.12283,0
0.110937,0.494727,-0.802386,145.159,3.53514,52.9761,4.39062,8.3615,9.63274,3.93445,13.5126,10.1214,17.4377,4.14418,18.306,4.36888,32.8196,2.36762,35.1212,1.43253,45.7985,0.744626,58.0361,5.38348,84.8362,0.874276,117.476,0.57802,147.114,2.56987,247.811,1.0826,545.644,2.12364,0
0.110937,0.514063,-0.789658,156.307,3.57672,50.0224,4.49713,9.5366,9.6319,3.95671,13.885,9.24601,17.4865,3.86364,18.3612,4.95125,32.8827,2.26382,35.7811,1.35585,45.7715,0.746811,58.5856,5.25854,84.9969,0.885603,117.542,0.583874,147.582,2.53913,248.06,1.07863,545.706,2.12445,0
0.110937,0.533398,-0.774444,169.633,3.61712,47.0987,4.61651,10.6463,9.6333,3.97326,14.2708,8.3447,17.533,3.54671,18.4328,5.60299,32.9258,2.20122,36.4863,1.26063,45.7465,0.748975,59.1751,5.12511,85.168,0.897477,117.614,0.590839,148.082,2.50663,248.328,1.07448,545.81,2.12527,0
0.110937,0.552734,-0.756945,185.483,3.6569,44.3014,4.74804,11.6089,9.63694,3.98461,14.6676,7.41344,17.5767,3.21742,18.5233,6.30629,32.9594,2.1631,37.2239,1.16387,45.7233,0.751123,59.8063,4.9831,85.3491,0.909908,117.692,0.598937,148.616,2.47241,248.615,1.07017,545.955,2.12609,0
0.110937,0.57207,-0.737339,204.299,3.69663,41.6817,4.89101,12.386,9.64284,3.99123,15.0724,6.44893,17.6176,2.90061,18.6357,7.04155,32.9887,2.14003,37.9863,1.07499,45.702,0.753274,60.4812,4.83249,85.5399,0.922906,117.774,0.608183,149.183,2.43655,248.921,1.0657,546.14,2.12692,0
0.110937,0.591406,-0.71579,226.646,3.73683,39.2578,5.04476,12.9708,9.65102,3.99353,15.4807,5.45139,17.6567,2.61497,18.773,7.79146,33.0167,2.12665,38.7681,0.99898,45.6826,0.755461,61.2017,4.67343,85.7402,0.936486,117.862,0.618583,149.784,2.3991,249.246,1.06108,546.366,2.12777,0
0.110937,0.610742,-0.69245,253.25,3.77794,37.0274,5.20872,13.3753,9.6615,3.99191,15.8863,4.43051,17.6961,2.36919,18.9393,8.53892,33.0448,2.11981,39.5652,0.938299,45.6651,0.757748,61.9696,4.50616,85.9497,0.950668,117.953,0.630136,150.419,2.36016,249.591,1.05631,546.631,2.12864,0
0.110937,0.630078,-0.667455,285.049,3.82032,34.9776,5.38241,13.6205,9.67431,3.98676,16.2802,3.41572,17.7393,2.16121,19.1397,9.25759,33.0741,2.11756,40.3743,0.893864,45.6495,0.760246,62.7869,4.33112,86.1682,0.96548,118.049,0.642832,151.088,2.3198,249.955,1.0514,546.935,2.12953,0
0.110937,0.649414,-0.640931,323.26,3.86427,33.0909,5.56541,13.7307,9.68945,3.97846,16.6493,2.47076,17.7927,1.97624,19.381,9.89922,33.1052,2.11865,41.1921,0.865526,45.6359,0.763161,63.6552,4.14892,86.3954,0.980956,118.148,0.656654,151.792,2.27812,250.338,1.04636,547.277,2.13046,0
0.110937,0.66875,-0.612996,369.49,3.90999,31.3493,5.7574,13.7296,9.70695,3.96741,16.9745,1.70609,17.868,1.77844,19.6701,10.3897,33.1384,2.12227,42.016,0.852261,45.6245,0.766896,64.5761,3.96034,86.6315,0.997147,118.25,0.67158,152.53,2.23523,250.741,1.04119,547.658,2.13141,0
0.110937,0.688086,-0.583756,425.878,3.95769,29.7359,5.95808,13.6388,9.72683,3.95402,17.2314,1.25499,17.9834,1.5146,20.0134,10.6492,33.1741,2.12785,42.8431,0.852047,45.6155,0.772363,65.5512,3.76634,86.8761,1.01411,118.355,0.687581,153.304,2.19123,251.163,1.0359,548.076,2.1324,0
0.110937,0.707422,-0.553312,495.328,4.00749,28.2353,6.16719,13.4769,9.74913,3.93877,17.4046,1.12955,18.1508,1.21581,20.414,10.6346,33.2124,2.13503,43.6706,0.8609,45.6097,0.782075,66.5814,3.56803,87.1294,1.03194,118.463,0.704626,154.113,2.14623,251.605,1.03049,548.532,2.13342,0
0.110937,0.726758,-0.521756,581.842,4.0595,26.8347,6.3845,13.2599,9.77387,3.92217,17.5088,1.14905,18.3565,1.04045,20.8709,10.3681,33.2535,2.14357,44.4931,0.866927,45.6108,0.806197,67.6678,3.36661,87.3915,1.05074,118.573,0.722678,154.957,2.10034,252.067,1.02497,549.025,2.13449,0
0.110937,0.746094,-0.489176,691.059,4.11382,25.5228,6.60983,13.0006,9.80109,3.90484,17.5726,1.17963,18.5763,1.05058,21.3794,9.92121,33.2975,2.15331,45.2737,0.772301,45.6539,0.940668,68.8107,3.16334,87.6624,1.07066,118.686,0.741699,155.837,2.05369,252.548,1.01934,549.555,2.1356,0
0.110937,0.76543,-0.455652,831.11,4.1705,24.2904,6.84297,12.7096,9.83084,3.88754,17.6158,1.19473,18.7964,1.19152,21.9336,9.37481,33.3444,2.1642,45.5479,0.676935,46.2024,1.08361,70.0102,2.95947,87.9427,1.0919,118.801,0.761651,156.752,2.00639,253.051,1.01361,550.122,2.13676,0
0.110937,0.784766,-0.421261,1014.05,4.22959,23.1297,7.08376,12.3952,9.86316,3.87123,17.6482,1.19815,19.0127,1.39603,22.5275,8.79174,33.3944,2.17626,45.5653,0.714312,47.0059,1.09957,71.2661,2.75617,88.2327,1.11469,118.917,0.782494,157.702,1.95856,253.573,1.00779,550.726,2.13796,0
0.110937,0.804102,-0.386073,1258.34,4.29112,22.0341,7.332,12.0635,9.89813,3.85718,17.6747,1.19524,19.2253,1.61904,23.1561,8.21105,33.4475,2.18959,45.5704,0.726441,47.8189,1.14465,72.5773,2.55443,88.5332,1.1394,119.036,0.804189,158.688,1.91031,254.116,1.00187,551.366,2.13921,0
0.110937,0.823438,-0.350155,1593.38,4.35513,20.9982,7.58751,11.7189,9.93583,3.84713,17.698,1.18926,19.4355,1.83603,23.8152,7.65319,33.5037,2.20438,45.5745,0.731874,48.6301,1.19854,73.9423,2.35502,88.8455,1.16647,119.156,0.8267,159.709,1.86175,254.68,0.995863,552.043,2.14052,0
0.110937,0.842773,-0.313571,2068.18,4.42162,20.0175,7.85006,11.3636,9.97639,3.84362,17.7194,1.18193,19.6448,2.03552,24.5018,7.12693,33.5633,2.22095,45.5793,0.734586,49.4374,1.25568,75.3588,2.15837,89.171,1.19651,119.278,0.849992,160.766,1.813,255.265,0.989773,552.757,2.14188,0
0.110937,0.862109,-0.27638,2769.34,4.49061,19.088,8.11941,10.9977,10.02,3.85049,17.7399,1.17416,19.8544,2.21332,25.2137,6.63444,33.6263,2.23977,45.5853,0.735875,50.2405,1.31338,76.8234,1.96454,89.5123,1.23035,119.402,0.874036,161.858,1.76417,255.872,0.983603,553.508,2.1433,0
0.110937,0.881445,-0.238637,3861.36,4.56208,18.2064,8.3952,10.618,10.0668,3.87395,17.7601,1.16636,20.0654,2.36887,25.949,6.17446,33.6928,2.26156,45.5929,0.736291,51.0394,1.36994,78.3315,1.77308,89.873,1.26908,119.527,0.898805,162.985,1.71534,256.5,0.977357,554.295,2.14477,0
0.110937,0.900781,-0.200397,5688.04,4.63604,17.3699,8.67693,10.2161,10.1174,3.92471,17.7802,1.15873,20.2785,2.50334,26.7062,5.74388,33.7631,2.28738,45.6021,0.736106,51.8344,1.42415,79.876,1.58305,90.2587,1.31414,119.655,0.92428,164.147,1.66664,257.15,0.971038,555.118,2.14631,0
0.110937,0.920117,-0.161708,9067.8,4.71247,16.576,8.96378,9.77403,10.1724,4.02283,17.8006,1.15136,20.4945,2.61858,27.4841,5.33844,33.8375,2.31887,45.613,0.735469,52.626,1.47514,81.4468,1.39299,90.6782,1.36727,119.784,0.950447,165.344,1.61814,257.822,0.964649,555.979,2.1479,0
0.110937,0.939453,-0.122618,16359.6,4.79136,15.8225,9.25421,9.25176,10.2334,4.20957,17.8216,1.14425,20.7138,2.71663,28.2816,4.95286,33.9165,2.35863,45.6256,0.734473,53.4149,1.52229,83.028,1.20137,91.1459,1.43008,119.916,0.977302,166.576,1.56993,258.517,0.958194,556.877,2.14956,0
0.110937,0.958789,-0.0831703,36859.3,4.87268,15.1073,9.54494,8.55619,10.3035,4.57917,17.8432,1.13738,20.9367,2.79943,29.0972,4.58025,34.0008,2.41092,45.6401,0.733178,54.2017,1.56519,84.5944,1.00823,91.6852,1.5025,120.05,1.00485,167.841,1.5221,259.234,0.951675,557.811,2.15128,0
0.110937,0.978125,-0.0434072,140171,4.95641,14.4288,9.82774,7.46176,10.3908,5.35798,17.8656,1.13073,21.1636,2.86878,29.9291,4.21065,34.0919,2.4833,45.6563,0.731626,54.9872,1.60359,86.1059,0.819609,92.3346,1.57831,120.187,1.03311,169.141,1.47472,259.976,0.945094,558.783,2.15307,0
0.110937,0.997461,-0.00336758,2.41064e+07,5.04252,13.7852,10.0809,5.60976,10.5171,6.90527,17.8888,1.12425,21.3947,2.92629,30.7744,3.8276,34.1923,2.59005,45.6744,0.729847,55.7721,1.63739,87.5043,0.655713,93.1502,1.63702,120.326,1.0621,170.475,1.42787,260.741,0.938454,559.792,2.15492,0
0.110937,1.0168,0.0369117,207552,5.13097,13.1749,10.2692,3.61349,10.7174,8.60812,17.913,1.1179,21.6301,2.97334,31.6272,3.39948,34.3078,2.7608,45.6944,0.727867,56.5572,1.6666,88.7241,0.551741,94.1957,1.64306,120.469,1.09188,171.841,1.38161,261.53,0.931756,560.839,2.15684,0
0.110937,1.03613,0.0773961,48797.8,5.22172,12.5966,10.3942,2.74487,10.9901,9.19488,17.9383,1.11166,21.8702,3.01115,32.4731,2.85846,34.4524,3.06162,45.7162,0.725707,57.3433,1.69129,89.728,0.529069,95.5064,1.57459,120.617,1.1225,173.241,1.336,262.344,0.925001,561.924,2.15882,0
0.110937,1.05547,0.118053,21665.4,5.31474,12.0488,10.4898,2.51556,11.3013,9.154,17.9647,1.10549,22.1148,3.04077,33.2694,2.07992,34.6685,3.61551,45.74,0.723388,58.1311,1.71162,90.5336,0.567195,97.0622,1.45161,120.769,1.15407,174.673,1.2911,263.183,0.918191,563.047,2.16087,0
0.110937,1.0748,0.158853,12351.5,5.40998,11.5303,10.5751,2.45185,11.6318,8.95925,17.9922,1.09936,22.3643,3.06311,33.898,1.22946,35.0744,4.25546,45.7657,0.720931,58.9213,1.72778,91.1929,0.62906,98.8086,1.31063,120.927,1.18669,176.137,1.24696,264.048,0.911327,564.208,2.16299,0
0.110937,1.09414,0.199768,8056.83,5.5074,11.0397,10.6572,2.42398,11.9743,8.74037,18.021,1.09325,22.6186,3.07894,34.2601,1.09682,35.7686,4.1904,45.7934,0.71836,59.7145,1.73999,91.7562,0.691598,100.692,1.17412,121.093,1.22051,177.633,1.20361,264.939,0.904408,565.408,2.16518,0
0.110937,1.11348,0.24077,5717.74,5.60693,10.5757,10.7391,2.40087,12.3257,8.52837,18.051,1.08715,22.8778,3.08894,34.4681,1.28444,36.6385,3.81672,45.8231,0.715705,60.5115,1.7485,92.259,0.746617,102.674,1.04965,121.269,1.25572,179.16,1.16112,265.858,0.897435,566.647,2.16744,0
0.110937,1.13281,0.281837,4299.05,5.70853,10.1373,10.8221,2.37518,12.6848,8.33047,18.0823,1.08102,23.1421,3.09371,34.6225,1.43724,37.5836,3.48842,45.8549,0.713007,61.3127,1.75356,92.7237,0.792881,104.727,0.937821,121.458,1.29251,180.717,1.1195,266.804,0.890406,567.925,2.16976,0
0.110937,1.15215,0.322944,3371.13,5.81214,9.72319,10.9069,2.34564,13.0506,8.14782,18.1149,1.07486,23.4113,3.09374,34.7579,1.53723,38.5693,3.22245,45.8887,0.710327,62.1189,1.75542,93.1642,0.831368,106.831,0.837092,121.666,1.33104,182.304,1.0788,267.778,0.883322,569.243,2.17216,0
0.110937,1.17148,0.364072,2729.3,5.91771,9.33227,10.9939,2.31256,13.4226,7.97995,18.1489,1.06867,23.6857,3.08946,34.8862,1.60232,39.5836,2.99996,45.9246,0.707763,62.9304,1.75433,93.5889,0.863456,108.967,0.745748,121.901,1.37124,183.921,1.03904,268.781,0.876179,570.601,2.17462,0
0.110937,1.19082,0.4052,2265.78,6.02517,8.96344,11.0833,2.27662,13.8005,7.82601,18.1844,1.06242,23.9652,3.08127,35.0124,1.64508,40.6215,2.80739,45.9628,0.705487,63.7478,1.75054,94.0035,0.890388,111.113,0.663017,122.178,1.41227,185.567,1.00025,269.814,0.868978,571.999,2.17714,0
0.110937,1.21016,0.446311,1919.37,6.13445,8.61562,11.1754,2.2385,14.1839,7.68516,18.2214,1.05613,24.25,3.06948,35.1387,1.67293,41.6805,2.63625,46.0032,0.703848,64.5714,1.74428,94.4117,0.913158,113.239,0.590837,122.523,1.45085,187.24,0.962453,270.878,0.861715,573.438,2.17974,0
0.110937,1.22949,0.487388,1653.15,6.2455,8.28776,11.2703,2.1988,14.5727,7.55662,18.2598,1.04978,24.5399,3.05438,35.2666,1.69026,42.7593,2.48066,46.0461,0.703673,65.4018,1.73577,94.8159,0.932532,115.291,0.538497,122.986,1.4766,188.941,0.925672,271.973,0.854388,574.919,2.1824,0
0.110937,1.24883,0.528416,1443.75,6.35825,7.97886,11.368,2.15801,14.9665,7.4397,18.2998,1.0434,24.8351,3.03621,35.3968,1.69979,43.8566,2.33472,46.0919,0.707531,66.2393,1.72521,95.2179,0.949095,117.174,0.5323,123.66,1.46232,190.668,0.889922,273.1,0.846993,576.441,2.18512,0
0.110937,1.26816,0.569381,1275.81,6.47262,7.68794,11.4686,2.11656,15.365,7.33381,18.3414,1.03698,25.1356,3.01519,35.5298,1.70325,44.97,2.18242,46.1425,0.729128,67.0843,1.71281,95.619,0.963297,118.745,0.614613,124.684,1.36491,192.422,0.855219,274.26,0.839527,578.005,2.1879,0
0.110937,1.2875,0.61027,1138.84,6.58856,7.41405,11.5722,2.07479,15.7681,7.23838,18.3847,1.03058,25.4414,2.9915,35.666,1.70181,46.045,1.41871,46.2522,1.37183,67.937,1.69874,96.0201,0.975481,119.895,0.783827,126.165,1.18539,194.2,0.821578,275.455,0.831987,579.612,2.19075,0
0.110937,1.30684,0.651073,1025.52,6.70598,7.15627,11.6789,2.033,16.1756,7.15291,18.4297,1.02425,25.7527,2.96529,35.8058,1.69626,46.2256,0.639423,47.2768,2.03853,68.7978,1.68317,96.4219,0.985919,120.668,0.965382,128.059,0.997821,196.002,0.789009,276.685,0.824368,581.262,2.19366,0
0.110937,1.32617,0.691778,930.562,6.82482,6.91373,11.7886,1.99144,16.587,7.07684,18.4764,1.01813,26.0693,2.9367,35.9494,1.68716,46.284,0.647654,48.4436,1.92514,69.6669,1.66626,96.8249,0.994821,121.195,1.11105,130.231,0.849993,197.828,0.757523,277.951,0.816667,582.956,2.19662,0
0.110937,1.34551,0.732376,850.113,6.94501,6.68558,11.9014,1.9503,17.0022,7.00951,18.5249,1.01255,26.3914,2.90584,36.097,1.67491,46.3418,0.648469,49.6313,1.82576,70.5446,1.64813,97.2296,1.00236,121.584,1.22063,132.573,0.741752,199.676,0.727128,279.254,0.808877,584.694,2.19964,0
0.110937,1.36484,0.772859,781.28,7.06648,6.47101,12.0174,1.90977,17.4209,6.94971,18.5754,1.00836,26.7189,2.87282,36.2489,1.65982,46.4012,0.646564,50.8372,1.73503,71.4311,1.62891,97.6363,1.00866,121.896,1.30559,135.023,0.661325,201.546,0.697831,280.596,0.800995,586.476,2.20271,0
0.110937,1.38418,0.813218,721.867,7.18915,6.26925,12.1366,1.87001,17.8425,6.89386,18.628,1.00885,27.052,2.83772,36.4053,1.64212,46.463,0.643396,52.0608,1.65093,72.3265,1.60873,98.0453,1.01385,122.163,1.37499,137.546,0.599367,203.435,0.66964,281.977,0.793017,588.304,2.20583,0
0.110937,1.40352,0.853447,670.179,7.31295,6.07955,12.2589,1.83115,18.2661,6.81937,18.6835,1.03632,27.3906,2.80062,36.5664,1.62198,46.5272,0.639516,53.3017,1.5724,73.2312,1.58767,98.4567,1.01801,122.402,1.43455,140.125,0.549948,205.345,0.642556,283.4,0.784938,590.178,2.209,0
0.110937,1.42285,0.89354,624.89,7.43782,5.90121,12.3844,1.79329,18.6755,5.28099,18.7578,2.53575,27.7347,2.76159,36.7324,1.59955,46.594,0.635178,54.5597,1.49877,74.1452,1.56584,98.8708,1.02122,122.624,1.48772,142.746,0.509396,207.273,0.616585,284.864,0.776754,592.098,2.21222,0
0.110937,1.44219,0.933491,584.95,7.56369,5.73356,12.5131,1.75654,18.7906,1.02871,19.1308,6.75689,28.0845,2.7207,36.9037,1.57495,46.6635,0.630515,55.8348,1.42952,75.0687,1.54331,99.2876,1.02355,122.835,1.53667,145.404,0.475384,209.219,0.591728,286.371,0.768461,594.066,2.21547,0
0.110937,1.46152,0.973295,549.521,7.69048,5.57596,12.645,1.72098,18.8528,0.97381,19.5606,6.7882,28.44,2.67801,37.0804,1.54829,46.7359,0.625606,57.1266,1.36424,76.0019,1.52014,99.7074,1.02505,123.04,1.58278,148.092,0.446376,211.181,0.567986,287.924,0.760057,596.081,2.21876,0
0.110937,1.48086,1.01295,517.922,7.81814,5.42781,12.78,1.68668,18.9158,0.958623,19.9934,6.78709,28.8011,2.63359,37.2628,1.51966,46.8111,0.620499,58.435,1.30258,76.9448,1.49641,100.13,1.02577,123.24,1.62696,150.807,0.421317,213.158,0.545357,289.522,0.751539,598.144,2.22209,0
0.110937,1.5002,1.05245,489.602,7.94659,5.28854,12.9183,1.6537,18.9807,0.948396,20.4277,6.78805,29.1678,2.58751,37.4512,1.48917,46.8893,0.615227,59.76,1.24423,77.8976,1.47216,100.556,1.02576,123.437,1.66986,153.545,0.399452,215.15,0.523839,291.167,0.742906,600.257,2.22544,0
0.110937,1.51953,1.09179,464.103,8.07578,5.15761,13.0596,1.62209,19.0479,0.939398,20.8628,6.79451,29.5403,2.53984,37.6459,1.45692,46.9706,0.609815,61.1013,1.18893,78.8604,1.44743,100.985,1.02504,123.634,1.71194,156.304,0.380225,217.156,0.503428,292.861,0.73416,602.419,2.22882,0
0.110937,1.53887,1.13097,441.048,8.20565,5.03451,13.2041,1.59188,19.1174,0.930786,21.2983,6.80704,29.9185,2.49068,37.8473,1.423,47.0551,0.60428,62.4587,1.13643,79.8332,1.42226,101.418,1.02366,123.831,1.75353,159.083,0.363211,219.174,0.484118,294.605,0.725301,604.632,2.23222,0
0.110937,1.5582,1.16999,420.121,8.33613,4.91877,13.3517,1.56311,19.1893,0.922291,21.7336,6.82559,30.3024,2.44012,38.0557,1.38755,47.1429,0.598635,63.8321,1.08651,80.8162,1.39667,101.854,1.02166,124.029,1.7949,161.877,0.348078,221.203,0.465901,296.4,0.716333,606.896,2.23563,0
0.110937,1.57754,1.20884,401.058,8.46718,4.80993,13.5023,1.53578,19.2638,0.913812,22.1683,6.84991,30.6919,2.38827,38.2714,1.35068,47.234,0.592892,65.2212,1.03898,81.8093,1.37068,102.293,1.01905,124.229,1.83626,164.686,0.334558,223.244,0.448766,298.248,0.707263,609.211,2.23905,0
0.110937,1.59688,1.24753,383.634,8.59873,4.70758,13.6559,1.50992,19.341,0.905306,22.6019,6.87967,31.0871,2.33528,38.4949,1.31254,47.3287,0.58706,66.6259,0.993656,82.8126,1.34429,102.736,1.01588,124.431,1.87776,167.509,0.322436,225.294,0.4327,300.149,0.698096,611.579,2.24248,0
0.110937,1.61621,1.28606,367.658,8.73075,4.61133,13.8124,1.48552,19.421,0.896754,23.0339,6.9145,31.4879,2.28129,38.7265,1.27329,47.427,0.581145,68.0458,0.950372,83.8262,1.3175,103.183,1.01216,124.635,1.91955,170.342,0.31153,227.354,0.417689,302.105,0.688845,614.001,2.24591,0
0.110937,1.63555,1.32441,352.967,8.86318,4.5208,13.9718,1.46259,19.5038,0.888152,23.4638,6.95394,31.8942,2.22647,38.9668,1.23311,47.5292,0.575153,69.4808,0.908977,84.8501,1.29032,103.633,1.00794,124.844,1.96174,173.184,0.301688,229.422,0.403713,304.117,0.679521,616.476,2.24933,0
0.110937,1.65488,1.3626,339.421,8.99597,4.43565,14.1339,1.4411,19.5897,0.879501,23.891,6.99754,32.3059,2.17101,39.2161,1.19221,47.6352,0.56909,70.9304,0.869335,85.8842,1.26271,104.087,1.00325,125.056,2.00445,176.034,0.292782,231.499,0.390752,306.187,0.670139,619.007,2.25273,0
0.110937,1.67422,1.40061,326.897,9.1291,4.35556,14.2987,1.42105,19.6787,0.870806,24.315,7.04477,32.7228,2.11512,39.475,1.15081,47.7454,0.562959,72.3944,0.831317,86.9286,1.23466,104.546,0.998118,125.272,2.04776,178.889,0.284701,233.583,0.378782,308.314,0.660718,621.593,2.25612,0
0.110937,1.69355,1.43847,315.291,9.26251,4.28023,14.466,1.40241,19.771,0.862076,24.7353,7.09509,33.1449,2.05901,39.7439,1.10914,47.8599,0.556762,73.8724,0.794808,87.9833,1.20613,105.008,0.992581,125.493,2.09176,181.748,0.277348,235.675,0.367775,310.501,0.651278,624.235,2.25948,0
