MassAniso: 0.207901
RelativeDielectric: 11.4

Energy SU(meV): 19.9437
Length SU(nm): 3.16673


PotentialIdx,Exponent,Coefficient(Real),Coefficient(Imag),Symmetry,
0,-1,-2,0,

SolidAngleFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

SlaterFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0

GaussFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0


WavefunctionType: 1

BasisIdx,m,l,k,Azimuth,Symmetry,
0,0,0,0,1,A1
1,0,0,1,1,A1
2,0,0,2,1,A1
3,0,0,3,1,A1
4,0,2,0,1,A1
5,0,2,1,1,A1
6,0,2,2,1,A1
7,0,2,3,1,A1
8,0,4,0,1,A1
9,0,4,1,1,A1
10,0,4,2,1,A1
11,0,4,3,1,A1
12,0,6,0,1,A1
13,0,6,1,1,A1
14,0,6,2,1,A1
15,0,6,3,1,A1


Radius0(AU),Aniso0,Energy0(AU),Variance0,Energy1(AU),Variance1,Energy2(AU),Variance2,Energy3(AU),Variance3,Energy4(AU),Variance4,Energy5(AU),Variance5,Energy6(AU),Variance6,Energy7(AU),Variance7,Energy8(AU),Variance8,Energy9(AU),Variance9,Energy10(AU),Variance10,Energy11(AU),Variance11,Energy12(AU),Variance12,Energy13(AU),Variance13,Energy14(AU),Variance14,Energy15(AU),Variance15,Del
0.05,0.282031,4.26515,105.36,19.3683,45.2663,26.9555,4.03987,50.5651,3.50853,60.2651,16.9412,88.1063,2.28717,93.0504,2.6315,156.634,3.47732,171.54,1.83421,231.244,0.752358,272.535,5.94914,425.011,0.7736,593.612,0.570091,718.471,2.72808,1223.88,1.08079,2759.08,2.0803,0
0.05,0.301367,4.30164,106.692,19.6097,44.7554,27.079,3.8304,50.5696,3.58532,61.3774,16.2929,88.2113,2.26241,93.1955,2.77606,158.851,3.24001,171.499,1.83867,231.161,0.754463,273.854,5.8931,425.41,0.77914,593.894,0.569014,719.611,2.7137,1224.6,1.07879,2758.94,2.08106,0
0.05,0.320703,4.35618,107.34,19.8712,44.143,27.2406,3.64812,50.5815,3.65457,62.5882,15.6262,88.3241,2.22815,93.3712,2.93504,161.241,3.00453,171.477,1.84203,231.085,0.756689,275.301,5.83147,425.866,0.785067,594.232,0.56846,720.878,2.69774,1225.4,1.07659,2758.99,2.08179,0
0.05,0.340039,4.42762,107.369,20.15,43.4252,27.4418,3.5062,50.6008,3.71598,63.896,14.9444,88.4421,2.18554,93.5794,3.10775,163.798,2.77587,171.475,1.84229,231.017,0.759011,276.881,5.7641,426.378,0.791381,594.622,0.568522,722.277,2.68015,1226.29,1.07419,2759.24,2.08251,0
0.05,0.359375,4.51494,106.852,20.4431,42.5989,27.6845,3.41716,50.6278,3.76964,65.299,14.2502,88.5633,2.13629,93.822,3.2932,166.513,2.56312,171.493,1.83314,230.956,0.761399,278.598,5.69077,426.942,0.798084,595.06,0.569287,723.808,2.66089,1227.27,1.07159,2759.68,2.0832,0
0.05,0.378711,4.61725,105.867,20.7472,41.6622,27.9709,3.39169,50.6626,3.81579,66.7955,13.5457,88.6861,2.08257,94.1006,3.49028,169.375,2.40806,171.536,1.77527,230.902,0.763827,280.458,5.61126,427.559,0.805174,595.542,0.57084,725.474,2.63994,1228.34,1.06881,2760.3,2.08389,0
0.05,0.398047,4.73372,104.491,21.0592,40.6163,28.3031,3.43722,50.7053,3.85483,68.3838,12.8324,88.8089,2.02686,94.4168,3.69804,171.521,2.19927,172.459,1.78225,230.855,0.766269,282.467,5.52533,428.225,0.812651,596.065,0.57326,727.278,2.61725,1229.49,1.06585,2761.1,2.08456,0
0.05,0.417383,4.86361,102.8,21.3761,39.4663,28.6833,3.55646,50.7561,3.88718,70.0617,12.1106,88.9311,1.9718,94.7722,3.91597,171.623,1.98374,175.582,1.809,230.815,0.7687,284.63,5.43271,428.939,0.820511,596.626,0.57662,729.222,2.59282,1230.72,1.06272,2762.08,2.08524,0
0.05,0.436719,5.00623,100.863,21.6954,38.2227,29.1136,3.74644,50.8151,3.91328,71.8268,11.3798,89.0524,1.9201,95.1682,4.14442,171.71,1.96426,178.867,1.65431,230.781,0.771095,286.955,5.33315,429.699,0.828753,597.221,0.580986,731.308,2.56665,1232.05,1.05942,2763.23,2.08592,0
0.05,0.456055,5.16096,98.744,22.0148,36.9009,29.5956,3.99826,50.8824,3.93359,73.6761,10.638,89.1729,1.87454,95.6064,4.38487,171.81,1.96355,182.276,1.49679,230.755,0.773433,289.45,5.22638,430.505,0.837373,597.848,0.586415,733.54,2.53872,1233.46,1.05595,2764.55,2.08661,0
