MassAniso: 0.207901
RelativeDielectric: 11.4

Energy SU(meV): 19.9437
Length SU(nm): 3.16673


PotentialIdx,Exponent,Coefficient(Real),Coefficient(Imag),Symmetry,
0,-1,-2,0,

SolidAngleFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

SlaterFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0

GaussFunc
PotentialIdx,E(Real),E(Imag),X(Real),X(Imag),Y(Real),Y(Imag),Z(Real),Z(Imag),XX(Real),XX(Imag),YY(Real),YY(Imag),ZZ(Real),ZZ(Imag),XY(Real),XY(Imag),XZ(Real),XZ(Imag),YZ(Real),YZ(Imag)
0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0


WavefunctionType: 1

BasisIdx,m,l,k,Azimuth,Symmetry,
0,0,0,0,1,A1
1,0,0,1,1,A1
2,0,0,2,1,A1
3,0,2,0,1,A1
4,0,2,1,1,A1
5,0,2,2,1,A1
6,0,4,0,1,A1
7,0,4,1,1,A1
8,0,4,2,1,A1
9,0,6,0,1,A1
10,0,6,1,1,A1
11,0,6,2,1,A1


Radius0(AU),Aniso0,Energy(AU),Variance,Del
0.05,0.05,8.79967,41.3052,0
0.05,0.0693359,8.31795,46.39,0
0.05,0.0886719,7.93825,51.2436,0
0.05,0.108008,7.63811,55.7973,0
0.05,0.127344,7.4032,59.977,0
0.05,0.14668,7.22358,63.7146,0
0.05,0.166016,7.09203,66.9537,0
0.05,0.185352,7.00305,69.6542,0
0.05,0.204688,6.95235,71.7937,0
0.05,0.224023,6.93649,73.3683,0
0.05,0.243359,6.95266,74.3913,0
0.05,0.262695,6.99855,74.8908,0
0.05,0.282031,7.07219,74.9071,0
0.05,0.301367,7.17191,74.489,0
0.05,0.320703,7.29627,73.6908,0
0.05,0.340039,7.44401,72.5691,0
0.05,0.359375,7.61402,71.1804,0
0.05,0.378711,7.80532,69.5785,0
0.05,0.398047,8.01702,67.8136,0
0.05,0.417383,8.24832,65.9311,0
0.05,0.436719,8.49848,63.9709,0
0.05,0.456055,8.76684,61.9677,0
0.05,0.475391,9.05276,59.9506,0
0.05,0.494727,9.35567,57.9437,0
0.05,0.514063,9.67499,55.9667,0
0.05,0.533398,10.0102,54.035,0
0.05,0.552734,10.3608,52.1605,0
0.05,0.57207,10.7263,50.3522,0
0.05,0.591406,11.1062,48.6162,0
0.05,0.610742,11.5,46.9567,0
0.05,0.630078,11.9073,45.3761,0
0.05,0.649414,12.3276,43.8753,0
0.05,0.66875,12.7604,42.4543,0
0.05,0.688086,13.2053,41.1119,0
0.05,0.707422,13.6618,39.8465,0
0.05,0.726758,14.1295,38.6559,0
0.05,0.746094,14.6078,37.5373,0
0.05,0.76543,15.0963,36.4881,0
0.05,0.784766,15.5945,35.5053,0
0.05,0.804102,16.1018,34.5856,0
0.05,0.823438,16.6179,33.726,0
0.05,0.842773,17.1422,32.9234,0
0.05,0.862109,17.6741,32.1746,0
0.05,0.881445,18.2131,31.4766,0
0.05,0.900781,18.7587,30.8265,0
0.05,0.920117,19.3104,30.2214,0
0.05,0.939453,19.8676,29.6584,0
0.05,0.958789,20.4297,29.135,0
0.05,0.978125,20.9962,28.6485,0
0.05,0.997461,21.5666,28.1966,0
0.05,1.0168,22.1403,27.7767,0
0.05,1.03613,22.7168,27.3867,0
0.05,1.05547,23.2955,27.0245,0
0.05,1.0748,23.8758,26.6879,0
0.05,1.09414,24.4573,26.375,0
0.05,1.11348,25.0394,26.084,0
0.05,1.13281,25.6217,25.8132,0
0.05,1.15215,26.2036,25.5608,0
0.05,1.17148,26.7847,25.3254,0
0.05,1.19082,27.3645,25.1054,0
0.05,1.21016,27.9425,24.8995,0
0.05,1.22949,28.5185,24.7065,0
0.05,1.24883,29.092,24.525,0
0.05,1.26816,29.6625,24.3542,0
0.05,1.2875,30.2299,24.1928,0
0.05,1.30684,30.7938,24.0401,0
0.05,1.32617,31.3539,23.8951,0
0.05,1.34551,31.9099,23.7571,0
0.05,1.36484,32.4616,23.6254,0
0.05,1.38418,33.0088,23.4994,0
0.05,1.40352,33.5514,23.3785,0
0.05,1.42285,34.0891,23.2623,0
0.05,1.44219,34.6218,23.1502,0
0.05,1.46152,35.1494,23.042,0
0.05,1.48086,35.6718,22.9372,0
0.05,1.5002,36.1889,22.8356,0
0.05,1.51953,36.7007,22.7369,0
0.05,1.53887,37.2071,22.6409,0
0.05,1.5582,37.7081,22.5475,0
0.05,1.57754,38.2037,22.4564,0
0.05,1.59688,38.6939,22.3676,0
0.05,1.61621,39.1786,22.281,0
0.05,1.63555,39.658,22.1964,0
0.05,1.65488,40.132,22.1138,0
0.05,1.67422,40.6007,22.0331,0
0.05,1.69355,41.0641,21.9543,0
0.05,1.71289,41.5223,21.8773,0
0.05,1.73223,41.9754,21.8022,0
0.05,1.75156,42.4233,21.7289,0
0.05,1.7709,42.8663,21.6573,0
0.05,1.79023,43.3042,21.5876,0
0.05,1.80957,43.7373,21.5196,0
0.05,1.82891,44.1656,21.4534,0
0.05,1.84824,44.5892,21.3889,0
0.05,1.86758,45.0082,21.3262,0
0.05,1.88691,45.4226,21.2653,0
0.05,1.90625,45.8325,21.2062,0
0.05,1.92559,46.238,21.1488,0
0.05,1.94492,46.6393,21.0932,0
0.05,1.96426,47.0363,21.0394,0
0.05,1.98359,47.4292,20.9874,0
0.05,2.00293,47.8181,20.9371,0
0.05,2.02227,48.203,20.8887,0
0.05,2.0416,48.584,20.842,0
0.05,2.06094,48.9612,20.7971,0
0.05,2.08027,49.3348,20.7539,0
0.05,2.09961,49.7047,20.7126,0
0.05,2.11895,50.0711,20.673,0
0.05,2.13828,50.434,20.6352,0
